VAE model initialized.
VAE Epoch 1, Average Loss: 85.6476
VAE Epoch 2, Average Loss: 21.1050
VAE Epoch 3, Average Loss: 9.2286
VAE Epoch 4, Average Loss: 5.9366
VAE Epoch 5, Average Loss: 4.7234
VAE Epoch 6, Average Loss: 3.3848
VAE Epoch 7, Average Loss: 3.4127
VAE Epoch 8, Average Loss: 2.6709
VAE Epoch 9, Average Loss: 2.5104
VAE Epoch 10, Average Loss: 2.3074
VAE Epoch 11, Average Loss: 2.1673
VAE Epoch 12, Average Loss: 2.0785
VAE Epoch 13, Average Loss: 1.9479
VAE Epoch 14, Average Loss: 1.8896
VAE Epoch 15, Average Loss: 1.8337
VAE Epoch 16, Average Loss: 1.8019
VAE Epoch 17, Average Loss: 1.8373
VAE Epoch 18, Average Loss: 1.7281
VAE Epoch 19, Average Loss: 1.6624
VAE Epoch 20, Average Loss: 1.6071
VAE Epoch 21, Average Loss: 1.9410
VAE Epoch 22, Average Loss: 1.4965
VAE Epoch 23, Average Loss: 1.4831
VAE Epoch 24, Average Loss: 1.4332
VAE Epoch 25, Average Loss: 1.4084
VAE Epoch 26, Average Loss: 1.4198
VAE Epoch 27, Average Loss: 1.4249
VAE Epoch 28, Average Loss: 1.3440
VAE Epoch 29, Average Loss: 1.3343
VAE Epoch 30, Average Loss: 1.3151
VAE Epoch 31, Average Loss: 1.3107
VAE Epoch 32, Average Loss: 1.3045
VAE Epoch 33, Average Loss: 1.2708
VAE Epoch 34, Average Loss: 1.2502
VAE Epoch 35, Average Loss: 1.4083
VAE Epoch 36, Average Loss: 1.2137
VAE Epoch 37, Average Loss: 1.4019
VAE Epoch 38, Average Loss: 1.2735
VAE Epoch 39, Average Loss: 1.1870
VAE Epoch 40, Average Loss: 1.1662
VAE Epoch 41, Average Loss: 1.1529
VAE Epoch 42, Average Loss: 1.1695
VAE Epoch 43, Average Loss: 1.2787
VAE Epoch 44, Average Loss: 1.1449
VAE Epoch 45, Average Loss: 1.1560
VAE Epoch 46, Average Loss: 1.1199
VAE Epoch 47, Average Loss: 1.1338
VAE Epoch 48, Average Loss: 1.1589
VAE Epoch 49, Average Loss: 1.0839
VAE Epoch 50, Average Loss: 1.0987
VAE Epoch 51, Average Loss: 1.2601
VAE Epoch 52, Average Loss: 1.1908
VAE Epoch 53, Average Loss: 1.0701
VAE Epoch 54, Average Loss: 1.0562
VAE Epoch 55, Average Loss: 1.0732
VAE Epoch 56, Average Loss: 1.1356
VAE Epoch 57, Average Loss: 1.0938
VAE Epoch 58, Average Loss: 1.0760
VAE Epoch 59, Average Loss: 1.0720
VAE Epoch 60, Average Loss: 1.0468
VAE Epoch 61, Average Loss: 1.0304
VAE Epoch 62, Average Loss: 1.0341
VAE Epoch 63, Average Loss: 1.0581
VAE Epoch 64, Average Loss: 1.0176
VAE Epoch 65, Average Loss: 1.0417
VAE Epoch 66, Average Loss: 1.0477
VAE Epoch 67, Average Loss: 1.0062
VAE Epoch 68, Average Loss: 1.0142
VAE Epoch 69, Average Loss: 1.0522
VAE Epoch 70, Average Loss: 1.0525
VAE Epoch 71, Average Loss: 1.0496
VAE Epoch 72, Average Loss: 1.0385
VAE Epoch 73, Average Loss: 1.0323
VAE Epoch 74, Average Loss: 0.9999
VAE Epoch 75, Average Loss: 1.0225
VAE Epoch 76, Average Loss: 1.0324
VAE Epoch 77, Average Loss: 1.1188
VAE Epoch 78, Average Loss: 1.0117
VAE Epoch 79, Average Loss: 1.0111
VAE Epoch 80, Average Loss: 1.1040
VAE Epoch 81, Average Loss: 1.0230
VAE Epoch 82, Average Loss: 0.9924
VAE Epoch 83, Average Loss: 0.9679
VAE Epoch 84, Average Loss: 0.9787
VAE Epoch 85, Average Loss: 1.0918
VAE Epoch 86, Average Loss: 0.9845
VAE Epoch 87, Average Loss: 1.0071
VAE Epoch 88, Average Loss: 0.9866
VAE Epoch 89, Average Loss: 1.0144
VAE Epoch 90, Average Loss: 0.9920
VAE Epoch 91, Average Loss: 1.0687
VAE Epoch 92, Average Loss: 1.1176
VAE Epoch 93, Average Loss: 0.9675
VAE Epoch 94, Average Loss: 1.0326
VAE Epoch 95, Average Loss: 0.9668
VAE Epoch 96, Average Loss: 0.9605
VAE Epoch 97, Average Loss: 0.9992
VAE Epoch 98, Average Loss: 0.9702
VAE Epoch 99, Average Loss: 1.0101
VAE Epoch 100, Average Loss: 0.9825
VAE Epoch 101, Average Loss: 0.9595
VAE Epoch 102, Average Loss: 0.9708
VAE Epoch 103, Average Loss: 1.1473
VAE Epoch 104, Average Loss: 0.9709
VAE Epoch 105, Average Loss: 1.1294
VAE Epoch 106, Average Loss: 0.9448
VAE Epoch 107, Average Loss: 0.9441
VAE Epoch 108, Average Loss: 0.9709
VAE Epoch 109, Average Loss: 0.9670
VAE Epoch 110, Average Loss: 0.9533
VAE Epoch 111, Average Loss: 0.9586
VAE Epoch 112, Average Loss: 0.9525
VAE Epoch 113, Average Loss: 0.9546
VAE Epoch 114, Average Loss: 0.9723
VAE Epoch 115, Average Loss: 0.9502
VAE Epoch 116, Average Loss: 1.1079
VAE Epoch 117, Average Loss: 0.9646
VAE Epoch 118, Average Loss: 0.9352
VAE Epoch 119, Average Loss: 1.0564
