VAE model initialized.
VAE Epoch 1, Average Loss: 7.6331
VAE Epoch 2, Average Loss: 5.2689
VAE Epoch 3, Average Loss: 4.8166
VAE Epoch 4, Average Loss: 4.5208
VAE Epoch 5, Average Loss: 4.2787
VAE Epoch 6, Average Loss: 4.1100
VAE Epoch 7, Average Loss: 3.9098
VAE Epoch 8, Average Loss: 3.8161
VAE Epoch 9, Average Loss: 3.7130
VAE Epoch 10, Average Loss: 3.6076
VAE Epoch 11, Average Loss: 3.5321
VAE Epoch 12, Average Loss: 3.4792
VAE Epoch 13, Average Loss: 3.4208
VAE Epoch 14, Average Loss: 3.3472
VAE Epoch 15, Average Loss: 3.2956
VAE Epoch 16, Average Loss: 3.2871
VAE Epoch 17, Average Loss: 3.2158
VAE Epoch 18, Average Loss: 3.1659
VAE Epoch 19, Average Loss: 3.1313
VAE Epoch 20, Average Loss: 3.0613
VAE Epoch 21, Average Loss: 3.0161
VAE Epoch 22, Average Loss: 2.9975
VAE Epoch 23, Average Loss: 2.9425
VAE Epoch 24, Average Loss: 2.8917
VAE Epoch 25, Average Loss: 2.8456
VAE Epoch 26, Average Loss: 2.9267
VAE Epoch 27, Average Loss: 2.8455
VAE Epoch 28, Average Loss: 2.7718
VAE Epoch 29, Average Loss: 2.7691
VAE Epoch 30, Average Loss: 2.7400
VAE Epoch 31, Average Loss: 2.6776
VAE Epoch 32, Average Loss: 2.6627
VAE Epoch 33, Average Loss: 2.6590
VAE Epoch 34, Average Loss: 2.5859
VAE Epoch 35, Average Loss: 2.5941
VAE Epoch 36, Average Loss: 2.5517
VAE Epoch 37, Average Loss: 2.5060
VAE Epoch 38, Average Loss: 2.4745
VAE Epoch 39, Average Loss: 2.4507
VAE Epoch 40, Average Loss: 2.4041
VAE Epoch 41, Average Loss: 2.3976
VAE Epoch 42, Average Loss: 2.3862
VAE Epoch 43, Average Loss: 2.3988
VAE Epoch 44, Average Loss: 2.4052
VAE Epoch 45, Average Loss: 2.3512
