VAE model initialized.
VAE Epoch 146, Average Loss: 4.9693
VAE Epoch 147, Average Loss: 4.1330
VAE Epoch 148, Average Loss: 4.1471
VAE Epoch 149, Average Loss: 4.1895
VAE Epoch 150, Average Loss: 4.1717
VAE Epoch 151, Average Loss: 4.1040
VAE Epoch 152, Average Loss: 4.7483
VAE Epoch 153, Average Loss: 5.3552
VAE Epoch 154, Average Loss: 4.0842
VAE Epoch 155, Average Loss: 4.0747
VAE Epoch 156, Average Loss: 4.1385
VAE Epoch 157, Average Loss: 4.0868
VAE Epoch 158, Average Loss: 4.1139
VAE Epoch 159, Average Loss: 4.0397
VAE Epoch 160, Average Loss: 4.2019
VAE Epoch 161, Average Loss: 3.9854
VAE Epoch 162, Average Loss: 4.0179
VAE Epoch 163, Average Loss: 4.0700
VAE Epoch 164, Average Loss: 4.0604
VAE Epoch 165, Average Loss: 4.0545
VAE Epoch 166, Average Loss: 4.0063
VAE Epoch 167, Average Loss: 4.0949
VAE Epoch 168, Average Loss: 3.9803
VAE Epoch 169, Average Loss: 4.0596
VAE Epoch 170, Average Loss: 4.0978
VAE model saved.
Training complete.
